gene	FPKM	bivalency_status
Tchp	2.12989	H3K4me3
Tiam1	57.3501	H3K4me3
Tsc2	18.9926	H3K4me3
Rpl3l	0.028471	none
Slc9a3r2	11.2169	H3K4me3
Puf60	44.8835	H3K4me3
Golga2	14.9266	H3K4me3
Uck1	7.49295	H3K4me3
Scin	0.067671	H3K27me3
Ikzf4	2.88195	H3K4me3
Mien1	10.6928	H3K4me3
Pon1	0	none
Axl	0.438051	H3K27me3
Tgfb1	0.101741	Bivalent
Ccdc97	14.2624	H3K4me3
Zfp40	4.76142	H3K4me3
Akap8l	32.1711	H3K4me3
Shh	0.862238	H3K4me3
Pdcd2l	4.54973	H3K4me3
Gtf2f1	36.6529	H3K4me3
Clpp	4.70671	H3K4me3
Alkbh7	5.7161	H3K4me3
Pspn	0	none
Dennd1c	0.0360067	none
Med6	10.127	H3K4me3
Prkd1	1.12175	H3K4me3
Lcp2	0.185595	none
Cse1l	2.82334	H3K4me3
Naa20	7.23628	H3K4me3
Prkra	1.69844	H3K4me3
Fkbp7	1.04974	H3K4me3
Plekha3	2.03191	H3K4me3
Ykt6	4.70735	H3K4me3
Baz1b	23.0762	H3K4me3
Pex6	7.90746	H3K4me3
Mrpl2	6.93892	H3K4me3
Mea1	25.8298	none
Gnmt	0	none
Grin2d	1.48009	none
Kdelr1	7.72434	Bivalent
Tmem143	2.88692	H3K4me3
Pdxk-ps	0.0133622	none
Ggct	11.6101	H3K4me3
Jag2	3.47645	H3K4me3
Btbd6	22.6339	H3K4me3
Nudt14	1.20182	H3K4me3
Epdr1	41.0388	Bivalent
Flii	7.28651	H3K4me3
Top3a	1.06507	H3K4me3
Atg4d	2.88567	H3K4me3
Qtrt1	2.28856	H3K4me3
Plin4	0.0797502	none
Hdgfl2	21.4942	H3K4me3
Chaf1a	0.628028	H3K4me3
Adprh	17.5566	H3K4me3
Tmem39a	1.39506	H3K27me3
Timmdc1	10.2151	H3K4me3
Pla1a	0	none
Mcm2	2.1963	none
Tpra1	4.85894	H3K4me3
Nab1	8.15667	H3K4me3
Adgre5	0.346326	H3K27me3
Il17ra	0.708803	Bivalent
Lamb1	6.64043	H3K4me3
Kcnn1	6.53939	H3K4me3
Arrdc2	1.4072	H3K4me3
Ppp1r17	0.0368212	H3K27me3
Cd36	0.148769	H3K27me3
Map2k7	30.2034	H3K4me3
Timm44	21.1671	H3K4me3
Ap2a2	16.2977	H3K4me3
Pnkp	1.17777	H3K4me3
Med25	11.2144	H3K4me3
Bcam	0.654098	H3K27me3
Clptm1	38.1745	H3K4me3
Relb	1.15042	H3K4me3
Tomm40	16.3572	H3K4me3
Apoe	29.6443	Bivalent
Apoc2	0	none
Hbp1	3.41729	H3K4me3
Prkar2b	68.3027	H3K4me3
Cdkn1b	5.75847	H3K4me3
Klf4	0.420974	Bivalent
Ap1m1	10.7816	H3K4me3
Rab8a	2.0018	H3K4me3
Hmgn2	22.4229	H3K4me3
Fam32a	11.8984	H3K4me3
Elf3	0	none
Cyp2c29	0	none
Stard3nl	7.50927	H3K4me3
Stk11	7.98522	H3K4me3
Efna2	2.11655	H3K4me3
Atp5d	43.4751	H3K4me3
Ppp5c	34.9807	H3K4me3
Cdk12	3.94368	H3K4me3
Lipe	2.53344	none
Pafah1b2	70.5164	H3K4me3
Tbc1d8	22.4822	H3K4me3
Cnot11	4.44931	H3K4me3
Slc2a3	37.1243	H3K4me3
Foxj2	10.9416	H3K4me3
Sri	4.22275	none
Dgcr2	22.6538	none
Irf3	2.12953	H3K4me3
Bcl2l12	0	H3K4me3
Zfp959	0.998796	H3K4me3
Mpnd	20.3195	none
Sh3gl1	4.34592	H3K4me3
Ebi3	0.0841233	none
Yju2	2.31186	H3K4me3
Ranbp2	21.7865	H3K4me3
Edar	0.0253769	H3K27me3
Grk5	2.04968	H3K4me3
Dvl3	4.35976	H3K4me3
Abcf3	8.73582	H3K4me3
Eif2b5	4.60076	H3K4me3
Cyth2	30.5518	H3K4me3
Sult2b1	1.99183	H3K4me3
Car11	10.3808	H3K4me3
Dlgap1	32.3693	H3K4me3
Plag1	1.0013	Bivalent
Hck	0.0175464	H3K27me3
Mrpl4	3.2015	H3K4me3
Keap1	21.3209	H3K4me3
Ap1m2	0.327755	none
Glg1	51.317	H3K4me3
Atp8b3	0	none
Btbd2	20.7751	H3K4me3
Csnk1g2	18.2546	H3K4me3
Abhd17a	11.8401	H3K4me3
Mob3a	1.61141	H3K4me3
Cacnb3	21.7997	H3K27me3
Ccdc65	1.48491	H3K4me3
Fkbp11	0.109683	H3K4me3
Ddx23	30.3136	H3K4me3
Pld3	144.225	H3K4me3
Grik5	37.2141	H3K4me3
Cd79a	0	none
Rabac1	14.4568	H3K4me3
Etv3	5.50373	H3K4me3
Prkcsh	5.30546	H3K4me3
Elavl3	78.2145	H3K4me3
Rab3b	23.9898	H3K4me3
St8sia6	0.381229	Bivalent
Fcgrt	0.247337	none
Nosip	10.1828	H3K4me3
Pih1d1	5.36287	H3K4me3
Rps11	20.0537	H3K4me3
Supt5	29.6375	H3K4me3
Dll3	0.133849	H3K27me3
Paf1	20.9064	H3K4me3
Timm50	4.41483	H3K4me3
Med29	5.39053	H3K4me3
Bicd1	10.0455	H3K4me3
Ncstn	9.60437	H3K4me3
Pex19	10.0609	H3K4me3
Phyhip	170.493	H3K4me3
Crhr2	0.386896	none
Inmt	0	none
Cyp4f18	0.136853	none
Impdh1	15.1226	H3K4me3
Psg18	0	none
Dusp3	30.3849	none
Prodh	0.801633	Bivalent
Ess2	5.9149	H3K4me3
Slc25a1	10.3553	H3K4me3
Dgcr6	6.89358	none
Ddr1	7.14251	none
Ier3	2.37904	H3K4me3
Fosb	6.47306	H3K4me3
Klc4	4.39355	H3K4me3
Ercc1	0.799116	H3K4me3
Cyp17a1	0	none
As3mt	0.161804	H3K27me3
Homer3	0.0279052	H3K4me3
Crtc1	35.8381	H3K4me3
Rnf215	1.8148	H3K4me3
Sec14l2	8.77273	none
Aven	2.78142	H3K4me3
Cp	0.348304	H3K27me3
Crot	1.04966	H3K4me3
Rps6ka1	0.731596	H3K4me3
Calb2	3.59716	H3K27me3
Snrnp200	14.3219	H3K4me3
Ciao1	24.4189	H3K4me3
Has1	0.950429	none
Taf6l	2.89264	H3K4me3
Insig2	12.051	none
Kpna6	16.2848	H3K4me3
Man1a	29.6417	H3K4me3
Itpkc	1.45703	H3K4me3
Coq8b	1.82977	H3K4me3
Brd8	22.4098	H3K4me3
Kif20a	0.133477	H3K4me3
Farsa	1.38062	H3K4me3
Gcdh	3.71922	H3K4me3
Mast2	13.2055	H3K4me3
Dnase2a	1.03413	none
Rad23a	28.2641	H3K4me3
Calr	318.402	H3K4me3
Syce2	0.287775	none
Nfat5	21.9716	H3K4me3
Nob1	6.69591	H3K4me3
Nqo1	0.440312	H3K4me3
Ppfia3	27.196	H3K4me3
Gys1	1.02218	H3K4me3
Ruvbl2	7.04478	none
Lin7b	17.7439	H3K4me3
Bax	5.60667	H3K4me3
Il7r	0	H3K27me3
Tfam	14.1027	H3K4me3
Zfp81	11.3793	H3K4me3
Efnb3	20.0986	H3K4me3
Mmd	27.4773	H3K4me3
Hlf	26.4553	H3K4me3
Fam162a	20.2136	H3K4me3
Rpl8	25.4115	H3K4me3
Grm3	41.5813	H3K4me3
Ssbp2	7.37617	H3K4me3
Fancl	0.507608	H3K4me3
Brinp2	31.8625	H3K4me3
Gstm5	4.64047	H3K4me3
Gstm7	2.12601	none
Gstm3	0	none
Stat3	10.9439	H3K4me3
Stat5a	0.072887	H3K27me3
Cavin1	1.5479	none
Map3k11	2.26585	H3K4me3
Akt2	5.7526	H3K4me3
Dnaja3	8.55531	none
Hmox2	34.4621	H3K4me3
Cdip1	32.3716	H3K4me3
Map3k20	1.57362	H3K4me3
Cwc15	3.60497	H3K4me3
Col5a3	0.00576641	H3K27me3
Dnmt1	18.9717	none
Ppan	1.33312	H3K4me3
Angptl2	0.407403	none
Cacna1e	62.0896	Bivalent
Cacna1b	14.5577	H3K4me3
Trmt10a	1.64116	H3K4me3
Etv1	2.7705	H3K4me3
Kifc2	19.8113	H3K4me3
Psap	102.061	H3K4me3
Ikbkg	3.90235	H3K4me3
Pax2	0	H3K27me3
Wars2	1.63582	Bivalent
Atn1	48.8071	H3K4me3
Phb2	5.93849	H3K4me3
Ptpn6	1.29689	H3K4me3
Eno2	438.762	H3K4me3
Emg1	9.1921	H3K4me3
Lpcat3	1.78276	H3K4me3
Atp6v1f	105.442	H3K4me3
Il12b	0	H3K27me3
Clcn5	3.52111	H3K4me3
Clcn3	34.6464	H3K4me3
Hif3a	0.0807333	none
Gpx6	0.594842	none
Gpx5	0	none
Pde1c	17.788	H3K4me3
Utp20	3.83543	H3K4me3
Spic	0	none
9330159F19Rik	15.5238	none
Cul3	78.7145	H3K4me3
Sst	187.392	H3K27me3
Il11	0	none
Large1	18.6545	H3K4me3
Ddx56	4.88183	H3K4me3
Tmed4	23.8048	H3K4me3
Col26a1	0.231604	H3K27me3
Bid	1.53226	H3K4me3
Ralb	2.23985	H3K4me3
Ppp1cc	10.8798	H3K4me3
Dnajb11	5.05503	H3K4me3
Tbccd1	2.77889	H3K4me3
Clec11a	0.206392	none
Zfp324	2.41012	H3K4me3
Gab2	3.32605	H3K4me3
Coro1c	70.9861	H3K4me3
Tax1bp1	32.6788	H3K4me3
Psg17	0	none
Psg19	0	none
Ctse	0	none
Ndrg2	6.80211	Bivalent
Mettl17	0.882036	H3K4me3
Arhgef40	1.79116	H3K4me3
Pnpla6	2.84557	H3K4me3
Mcoln1	15.0623	H3K4me3
Arhgef18	11.3359	none
Pkn2	8.71203	H3K4me3
Cd33	0.15716	H3K27me3
Etfb	4.5162	H3K4me3
Nkg7	0	none
Stxbp2	0.937954	H3K4me3
Pcp2	0.178571	none
Sgce	8.36751	H3K4me3
Chn2	52.2664	Bivalent
Wwox	3.42573	H3K4me3
Slbp	6.38882	H3K4me3
Tyr	0	none
Ghrhr	0	H3K27me3
Aqp1	0.0101057	H3K27me3
Arid3b	2.53826	H3K4me3
Cnn2	0.109545	none
Polr2e	16.3461	H3K4me3
Abca13	0.00145512	H3K27me3
Myo9b	0.987772	H3K4me3
Hdac9	7.27684	H3K27me3
Ly9	0.01712	none
Cd244a	0	none
Adgre1	0.0190536	none
Mtfp1	8.13927	H3K4me3
Rab23	8.28685	H3K4me3
Rab11a	71.8826	H3K4me3
Eif2b2	11.9975	H3K4me3
Dlst	15.0431	H3K4me3
Pgf	0.328519	H3K27me3
Ulk2	22.4787	H3K4me3
Ccl24	0	none
Dgkq	4.51477	H3K4me3
Tmed11	0	none
Grap	0.0315646	none
Pou1f1	0	none
Chmp2b	20.2583	H3K4me3
Plod3	0.528531	H3K4me3
Ap1s1	56.8533	H3K4me3
Mapk13	0	H3K27me3
Srpk1	25.6642	H3K4me3
Pax3	0	H3K27me3
Lbr	2.59828	H3K4me3
Crabp2	0.199421	H3K27me3
Nes	0.142386	H3K27me3
Bcan	2.35089	Bivalent
Hapln2	0.713084	none
Prcc	18.4431	H3K4me3
Rrnad1	3.98159	H3K4me3
Hdgf	58.8878	H3K4me3
Slc25a18	0.20578	none
Thop1	6.20145	H3K4me3
Apba3	2.16032	H3K4me3
Matk	15.1443	H3K4me3
Pias4	6.71851	H3K4me3
Map2k1	106.727	H3K4me3
Sgta	30.478	H3K4me3
Nmrk2	0.0139586	none
Tmem242	9.50564	H3K4me3
Dtx2	0.886386	H3K4me3
Zp3	0	none
Hspb1	0.0788959	H3K27me3
Rasa4	0.124324	H3K4me3
Syt5	151.052	H3K4me3
Hnrnpa2b1	190.345	H3K4me3
Fxyd4	0.256999	none
Ccdc130	7.86167	H3K4me3
Mri1	2.60357	H3K4me3
Prkacb	174.265	H3K4me3
Sgsh	0.573815	H3K27me3
Chd5	10.1047	H3K4me3
Cstb	3.74719	H3K4me3
Sh2b2	0.475907	none
Pex5	6.20614	H3K4me3
Jkamp	3.35336	H3K4me3
Cd44	0.220253	H3K27me3
Slc1a2	33.6449	H3K4me3
Eif2ak4	1.73102	H3K4me3
Wdr1	25.8402	H3K27me3
Slc2a9	0.146871	H3K27me3
Ccn4	0.0606111	H3K27me3
Ndrg1	1.98472	Bivalent
4930550C14Rik	0.0240902	none
Man2b1	2.92045	H3K4me3
Klf5	14.1546	H3K4me3
Wdr83	3.55302	H3K4me3
Prdx2	37.1871	H3K4me3
Polr2a	15.8935	H3K4me3
Shbg	0	none
Senp3	20.1653	H3K4me3
Corin	0.0948529	H3K27me3
Plekha8	1.24455	H3K4me3
G6pc2	0	H3K27me3
Spc25	0.239086	Bivalent
Dnah2	1.47201	none
Ripk4	0.26793	Bivalent
Ufd1	6.6286	H3K4me3
Zfp287	6.35095	H3K4me3
Prlr	0.22558	H3K27me3
Letm1	21.9237	H3K4me3
Ubqln1	56.4448	H3K4me3
Fgfr4	0	H3K27me3
Cadm3	85.6929	H3K4me3
Fcer1a	0	none
Txn2	24.5779	H3K4me3
Casp14	0	none
Slc1a6	0.645739	H3K4me3
Slc1a3	2.71494	Bivalent
Crbn	22.3855	H3K4me3
Il5ra	0	H3K27me3
Msh6	9.30268	H3K4me3
Fbxo11	57.7235	H3K4me3
Mlxipl	0	H3K27me3
Tbl2	3.05631	H3K4me3
Bud23	9.34976	H3K4me3
Nid1	0.0328049	none
Mcm5	0.584342	H3K4me3
Hmox1	0.353798	H3K4me3
Mprip	33.6038	H3K4me3
Cic	34.2237	H3K4me3
Pafah1b3	1.2984	H3K4me3
Il27ra	0.0191968	none
Prkaca	26.9429	H3K4me3
